biospecimenType,BRENDA,MeSH
PBMCs,BTO:0001025,"Leukocytes, Mononuclear, peripheralÂ blood mononuclear cells"
kidney biopsy,BTO:0000671,Kidney
none,,
plasma,BTO:0000131,Plasma
saliva,BTO:0001202,Saliva
salivary gland,BTO:0001203,Salivary Glands
serum,BTO:0000133,Serum
skin biopsy,BTO:0001253,Skin
skin swab,,Skin
stool,BTO:0000440,Feces
suction blister cells,,Skin
suction blister fluid,,Skin
synovial fluid,BTO:0001339,Synovial Fluid
synovial tissue,BTO:0001823,Synovial Membrane
total leukocytes,BTO:0000751,Leukocytes
urine,BTO:0001419,Urine
uvea,,Uvea
primary cell culture,BTO:0001127,
