Attribute,Description,Valid Values,DependsOn,Required,Parent,Source,Validation Rules,columnType,Format,Minimum,Maximum,Pattern
Biospecimen Metadata Template,A general template outlining metadata to be collected for biospecimen profiled in a dataset.,,"Component, program, project, individualID, biospecimenID, parentBiospecimenID, altSampleID, biospecimenType, biospecimenSubtype, notes, sampleCollectionBatch",,,,,,,,,
In Vitro Biospecimen Metadata Template,A template outlining metadata to be collected for biospecimen used for an in vitro experiment.,,"Component, program, project, individualID, biospecimenID, parentBiospecimenID, altSampleID, biospecimenType, biospecimenSubtype, treatment, treatmentTimepoint, notes, sampleCollectionBatch",,,,,,,,,
skin swab,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"skinSiteStatus, anatomicalSite",,,,,,,,,
skin biopsy,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"skinSiteStatus, anatomicalSite",,,,,,,,,
suction blister cells,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"skinSiteStatus, anatomicalSite",,,,,,,,,
suction blister fluid,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"skinSiteStatus, anatomicalSite",,,,,,,,,
saliva,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,salivaCollectionProcedure,,,,,,,,,
synovial tissue,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"synovialCollectionProcedure, anatomicalSite, krennInflammatory, krennLining, krennStroma, krennSynovitisScore",,,,,,,,,
synovial fluid,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,anatomicalSite,,,,,,,,,
flow-sorted cells,A valid value of 'biospecimenSubtype' that triggers conditional dependencies for additional attributes.,,"FACSPopulation, cellOntologyID, cellType, userDefinedCellType",,,,,,,,,
cell suspension,A valid value of 'biospecimenSubtype' that triggers conditional dependencies for additional attributes.,,"cellOntologyID, cellType, userDefinedCellType",,,,,,,,,
AMP RA/SLE,Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
AMP AIM,Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
primary cell culture,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"cellType, cellOntologyID, primaryCellSource",,,,,,,,,
cell line,Is a valid value of 'biospecimenType' that triggers conditional dependencies for additional attributes.,,"cellType, cellOntologyID",,,,,,,,,
individualID,,,,TRUE,,,,string,,,,
biospecimenID,,,,TRUE,,,,string,,,,
biospecimenType,,"PBMCs, cell line, kidney biopsy, none, plasma, primary cell culture, saliva, salivary gland, serum, skin biopsy, skin swab, stool, suction blister cells, suction blister fluid, synovial fluid, synovial tissue, total leukocytes, urine, uvea, whole blood",,TRUE,,,,string,,,,
project,,"AIM for RA, ELLIPSS, LOCKIT, RA, SLE, STAMP, UMass V-CoRT, METRO",,TRUE,,,,string,,,,